Finished,Extraversion,Observant,Thinking,Judging,Age,Gender,education,Major,way of watching movies,subscription,Frequency,number of movies,Reasons,With whom,factors,Action,Adventure,Animated,Comedy,Historical,Fantasy,Horror,Science fiction,Documentary
TRUE,17,52,48,57,21,Male,bachelor,engineering and techonology,Go to cinema or theatres,Yes,fewer than 5 times a year,0-20,funny,alone,"advertisements,genres,previews",Strongly like,like,like,like,neither like nor dislike,Strongly like,neither like nor dislike,Strongly like,neither like nor dislike
TRUE,49,68,66,38,18,Male,high school or below,engineering and techonology,Go to cinema or theatres,Never,fewer than 5 times a year,0-20,"Entertaining,relaxing",With friends,"Actor/actress,director,comments of other audience",like,like,like,like,neither like nor dislike,like,like,like,like
TRUE,47,40,73,27,24,Female,high school or below,literature language and social sciences,on mobile devices at home or other places,Somtimes,6-10 times a year,21-40,relaxing,with family,"director,advertisements,comments of other audience",neither like nor dislike,dislike,dislike,like,like,dislike,dislike,neither like nor dislike,neither like nor dislike
TRUE,56,52,54,63,21,Female,bachelor,literature language and social sciences,Go to cinema or theatres,Never,6-10 times a year,0-20,"Entertaining,relaxing,express my feelings",With friends,"Actor/actress,previews,comments of other audience",neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike
TRUE,46,55,54,42,21,Female,bachelor,literature language and social sciences,on mobile devices at home or other places,Somtimes,6-10 times a year,0-20,"Entertaining,relaxing,funny",With friends,"Actor/actress,previews,comments of other audience",neither like nor dislike,neither like nor dislike,neither like nor dislike,like,neither like nor dislike,Strongly like,like,dislike,neither like nor dislike
TRUE,56,24,40,92,20,Female,high school or below,literature language and social sciences,Go to cinema or theatres,Yes,6-10 times a year,21-40,"Entertaining,relaxing,funny",alone,"Actor/actress,previews,comments of other audience",dislike,dislike,like,Strongly like,like,like,Strongly dislike,like,like
TRUE,65,60,50,65,20,Female,bachelor,literature language and social sciences,Go to cinema or theatres,Yes,fewer than 5 times a year,0-20,"Entertaining,relaxing,funny",With friends,"advertisements,genres,previews",like,like,like,like,like,like,like,like,like
TRUE,35,41,55,83,19,Female,bachelor,literature language and social sciences,on mobile devices at home or other places,Somtimes,fewer than 5 times a year,21-40,"Entertaining,relaxing,funny",with family,"Actor/actress,advertisements,comments of other audience",dislike,like,Strongly dislike,Strongly like,neither like nor dislike,Strongly like,Strongly dislike,Strongly dislike,like
TRUE,47,39,57,39,20,Female,bachelor,literature language and social sciences,on mobile devices at home or other places,Yes,6-10 times a year,0-20,"Entertaining,relaxing,funny",With friends,"Actor/actress,director,previews",neither like nor dislike,neither like nor dislike,like,like,neither like nor dislike,like,like,neither like nor dislike,like
TRUE,61,49,53,65,18,Female,bachelor,literature language and social sciences,on mobile devices at home or other places,Yes,fewer than 5 times a year,21-40,"Entertaining,relaxing,funny",With friends,"Actor/actress,director,comments of other audience",like,like,neither like nor dislike,Strongly like,neither like nor dislike,Strongly like,like,like,neither like nor dislike
TRUE,39,49,27,57,19,Female,high school or below,literature language and social sciences,Go to cinema or theatres,Somtimes,6-10 times a year,0-20,"Entertaining,relaxing,express my feelings",alone,"director,advertisements,genres",neither like nor dislike,like,like,like,Strongly like,like,neither like nor dislike,like,neither like nor dislike
TRUE,51,51,53,55,21,Female,bachelor,literature language and social sciences,on mobile devices at home or other places,Yes,6-10 times a year,over 40,"relaxing,express my feelings,educating",alone,"Actor/actress,genres,previews",neither like nor dislike,like,Strongly like,dislike,Strongly like,neither like nor dislike,Strongly dislike,neither like nor dislike,like
TRUE,25,45,34,51,20,Female,high school or below,literature language and social sciences,on mobile devices at home or other places,Somtimes,fewer than 5 times a year,0-20,"Entertaining,relaxing,funny",with boyfriend/girlfriend,"Actor/actress,genres,comments of other audience",neither like nor dislike,neither like nor dislike,dislike,like,neither like nor dislike,like,like,Strongly dislike,Strongly dislike
TRUE,49,55,49,53,22,Female,high school or below,literature language and social sciences,Go to cinema or theatres,Somtimes,more than 10 times a year,0-20,Entertaining,With friends,"genres,previews,comments of other audience",like,like,like,like,like,like,like,like,like
TRUE,46,44,76,68,22,Female,high school or below,literature language and social sciences,Go to cinema or theatres,Yes,fewer than 5 times a year,0-20,Entertaining,with family,"Actor/actress,director,advertisements",like,like,Strongly like,Strongly like,Strongly like,Strongly like,like,Strongly dislike,neither like nor dislike
TRUE,35,57,52,63,21,Female,bachelor,literature language and social sciences,Go to cinema or theatres,Somtimes,fewer than 5 times a year,0-20,Entertaining,with family,"genres,previews,comments of other audience",like,like,like,like,neither like nor dislike,neither like nor dislike,neither like nor dislike,like,neither like nor dislike
TRUE,17,24,27,30,18,Female,bachelor,arts-related,Go to cinema or theatres,Yes,6-10 times a year,0-20,"relaxing,express my feelings",With friends,"Actor/actress,director,advertisements",like,neither like nor dislike,dislike,dislike,like,like,like,like,like
TRUE,34,35,57,47,19,Female,bachelor,literature language and social sciences,on mobile devices at home or other places,Yes,6-10 times a year,over 40,"Entertaining,relaxing,educating",With friends,"Actor/actress,advertisements,comments of other audience",neither like nor dislike,like,like,like,like,neither like nor dislike,like,Strongly like,neither like nor dislike
TRUE,52,55,49,56,22,Female,bachelor,literature language and social sciences,on mobile devices at home or other places,Somtimes,fewer than 5 times a year,0-20,"Entertaining,funny,educating",with family,"director,genres,comments of other audience",neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike
TRUE,52,55,51,53,22,Female,bachelor,literature language and social sciences,Go to cinema or theatres,Yes,6-10 times a year,21-40,"Entertaining,relaxing,educating",With friends,"director,previews,comments of other audience",neither like nor dislike,like,like,Strongly like,like,Strongly like,like,neither like nor dislike,like
TRUE,36,69,21,78,20,Female,bachelor,literature language and social sciences,Go to cinema or theatres,Somtimes,6-10 times a year,0-20,"Entertaining,relaxing,funny",With friends,"Actor/actress,genres,previews",dislike,like,dislike,like,dislike,Strongly like,dislike,dislike,dislike
TRUE,49,57,62,49,22,Female,bachelor,literature language and social sciences,Go to cinema or theatres,Somtimes,6-10 times a year,21-40,"Entertaining,relaxing,funny",With friends,"Actor/actress,genres,comments of other audience",like,like,like,like,neither like nor dislike,like,like,neither like nor dislike,like
TRUE,69,65,69,67,19,Female,bachelor,literature language and social sciences,Go to cinema or theatres,Somtimes,fewer than 5 times a year,0-20,"Entertaining,relaxing,funny",with family,"Actor/actress,director,previews",neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,like,like,like,neither like nor dislike
TRUE,27,63,36,76,21,Female,bachelor,literature language and social sciences,on mobile devices at home or other places,Somtimes,fewer than 5 times a year,0-20,"Entertaining,relaxing",with boyfriend/girlfriend,"Actor/actress,genres,previews",neither like nor dislike,like,like,like,dislike,like,Strongly dislike,neither like nor dislike,neither like nor dislike
